,NAME,X1,Y1,X2,Y2,FRAME
0,chair,625.9920654296875,429.8245849609375,712.5230712890625,722.8869018554688,27.0
1,chair,626.6124877929688,428.0101623535156,714.5358276367188,726.131591796875,28.0
2,chair,626.341796875,433.57867431640625,715.7974243164062,720.0158081054688,29.0
3,chair,628.099609375,432.3422546386719,716.357421875,721.4447631835938,30.0
4,chair,629.3363037109375,434.04754638671875,717.5488891601562,721.1027221679688,31.0
5,chair,630.2338256835938,433.9045715332031,718.7537841796875,719.7079467773438,32.0
6,chair,631.4423217773438,430.1640319824219,717.9229125976562,724.151611328125,33.0
7,chair,631.8133544921875,431.37353515625,718.3185424804688,723.887939453125,34.0
8,chair,632.3038330078125,432.9348449707031,720.6340942382812,722.9059448242188,35.0
9,chair,633.0359497070312,431.51580810546875,720.2310180664062,723.4266967773438,36.0
10,chair,634.5988159179688,431.5777587890625,720.9532470703125,722.5577392578125,37.0
11,chair,635.666748046875,434.2294006347656,722.8903198242188,721.3912963867188,38.0
12,chair,635.683837890625,435.2334899902344,723.9613037109375,721.50439453125,39.0
13,chair,635.2631225585938,433.39501953125,728.66259765625,724.3574829101562,40.0
14,chair,632.3869018554688,434.3557434082031,729.9412841796875,730.8856811523438,41.0
15,chair,638.6626586914062,440.7051086425781,732.636962890625,724.4497680664062,42.0
16,chair,639.7881469726562,439.4219055175781,734.6739501953125,720.4385375976562,43.0
17,chair,635.2481689453125,440.2289123535156,734.313232421875,730.1041870117188,44.0
18,chair,634.7672119140625,441.1572570800781,735.0792236328125,728.9833374023438,45.0
19,chair,639.3974609375,439.5450439453125,735.6552734375,722.5958862304688,46.0
20,chair,641.0572509765625,439.2798767089844,734.7077026367188,721.2564086914062,47.0
21,chair,638.9990234375,438.8832092285156,736.3464965820312,721.515380859375,48.0
22,chair,638.2793579101562,436.15350341796875,737.1666870117188,723.5137329101562,49.0
23,chair,640.5046997070312,438.8272705078125,736.4595947265625,720.8541259765625,50.0
24,chair,638.248779296875,437.7599182128906,738.9590454101562,720.0608520507812,51.0
25,chair,637.4466552734375,438.29034423828125,741.8712158203125,726.8087158203125,52.0
26,chair,637.79736328125,438.8599548339844,739.8041381835938,721.8260498046875,53.0
27,chair,638.3243408203125,441.0741271972656,741.432373046875,726.5407104492188,54.0
28,chair,636.7401123046875,441.60382080078125,744.0751953125,726.6973876953125,55.0
29,chair,637.0119018554688,441.6011657714844,744.12158203125,725.73486328125,56.0
30,chair,638.2913818359375,443.1384582519531,746.0340576171875,732.345703125,57.0
31,chair,639.272216796875,447.7953186035156,746.7461547851562,731.3985595703125,58.0
32,chair,639.4890747070312,447.10552978515625,747.3092041015625,732.0003051757812,59.0
33,chair,641.896240234375,443.3983154296875,749.2030029296875,730.5975952148438,60.0
34,chair,642.2528076171875,441.8197021484375,749.5709838867188,732.1885375976562,61.0
35,chair,644.6815185546875,443.7069396972656,751.1349487304688,760.776123046875,62.0
36,chair,644.8058471679688,446.77740478515625,751.7747802734375,753.3663330078125,63.0
37,chair,645.823486328125,448.98046875,753.1084594726562,751.543701171875,64.0
38,chair,646.9793701171875,444.7451477050781,752.407470703125,763.3526000976562,65.0
39,chair,649.2625732421875,444.0881042480469,753.165771484375,765.6235961914062,66.0
40,chair,650.5994262695312,444.9126281738281,753.4921264648438,766.9833984375,67.0
41,chair,651.2791748046875,443.0176696777344,754.751708984375,762.337646484375,68.0
42,chair,651.88330078125,442.7290344238281,754.4373779296875,766.2792358398438,69.0
43,chair,653.4502563476562,440.9247741699219,754.6448364257812,769.0025024414062,70.0
44,chair,653.6761474609375,441.293701171875,754.7927856445312,772.1203002929688,71.0
45,chair,654.6465454101562,441.7274475097656,756.8767700195312,769.3075561523438,72.0
46,chair,655.958740234375,444.54632568359375,758.6654663085938,765.0496826171875,73.0
47,chair,657.5170288085938,442.63226318359375,758.597412109375,771.9667358398438,74.0
48,chair,198.9417724609375,712.2987670898438,349.6179504394531,951.6619262695312,74.0
49,chair,657.6398315429688,445.51971435546875,759.435546875,765.1055908203125,75.0
50,chair,195.5980224609375,713.770263671875,349.07659912109375,950.667236328125,75.0
51,chair,658.3798828125,447.8204345703125,760.425537109375,767.4461059570312,76.0
52,chair,193.5617218017578,715.5003051757812,348.0546569824219,950.760009765625,76.0
53,chair,660.46875,465.5191650390625,759.054443359375,779.9566040039062,77.0
54,chair,190.6735076904297,718.5526123046875,347.2054748535156,950.9664306640625,77.0
55,chair,660.6893920898438,465.4110107421875,760.4253540039062,781.7127075195312,78.0
56,chair,660.921142578125,447.39593505859375,763.3165283203125,766.5291748046875,79.0
57,chair,183.27345275878906,720.7767944335938,342.9272155761719,949.3447265625,79.0
58,chair,663.0091552734375,447.007080078125,764.8809204101562,769.4508666992188,80.0
59,chair,177.39303588867188,723.4303588867188,341.22857666015625,949.199951171875,80.0
60,chair,663.510009765625,445.7480773925781,764.7015991210938,772.1692504882812,81.0
61,chair,168.85679626464844,726.001708984375,339.7587585449219,950.4899291992188,81.0
62,chair,662.1123657226562,454.8985290527344,764.6573486328125,777.3955078125,82.0
63,chair,163.07847595214844,726.3342895507812,339.54815673828125,950.8945922851562,82.0
64,chair,664.5785522460938,465.1894836425781,765.8887939453125,780.24169921875,83.0
65,chair,158.81211853027344,727.46044921875,338.3134460449219,953.3493041992188,83.0
66,chair,664.9331665039062,464.4197082519531,766.7009887695312,778.9984741210938,84.0
